service_date,service_hour,dong_name,included_in_3d_map,day_type,living_population,temperature,rain,business_total,subway_daily_alight,traffic_speed,traffic_congestion,transit_pressure,subway_pressure,hourly_raw_score,hourly_relative_demand
20260307,14,압구정동,0,weekday,55022.5961,5.0,0.0,4304.0,5817.6,16.7,0.059880239520958084,5941.065,11555.098,0.4005588,0.14102115
20260307,14,역삼1동,1,weekday,104985.4356,5.0,0.0,13420.0,13555.87,21.2,0.04716981132075472,10744.806,22670.776,0.82,0.28869007
20260307,14,역삼2동,1,weekday,39151.69195,5.0,0.0,3555.0,0.0,20.8,0.04807692307692307,1172.0,0.0,0.03353206,0.01180533
20260307,14,청담동,1,weekday,51257.159,5.0,0.0,4760.0,1533.4,19.1,0.05235602094240837,1259.065,3221.742,0.14888286,0.05241586
20260307,15,논현1동,1,weekday,38756.8325,5.0,0.0,5187.0,5743.33,19.9,0.05025125628140704,7626.839,10453.29,0.32797363,0.11407325
20260307,15,논현2동,1,weekday,45700.4638,5.0,0.0,5294.0,1331.13,20.2,0.04950495049504951,4435.29,11312.838,0.24999668,0.08695191
20260307,15,대치4동,1,weekday,55417.683,5.0,0.0,3868.0,1992.4,21.0,0.047619047619047616,6374.742,3736.904,0.23788884,0.08274065
20260307,15,삼성1동,1,weekday,51436.1416,5.0,0.0,3259.0,4758.53,22.6,0.04424778761061947,5326.645,5900.838,0.22709561,0.07898664
20260307,15,삼성2동,1,weekday,31428.9735,5.0,0.0,3595.0,4942.53,20.8,0.04807692307692307,2482.258,17603.162,0.22853089,0.07948584
20260307,15,신사동,1,weekday,46933.8159,5.0,0.0,5409.0,4180.47,18.5,0.05405405405405406,1084.774,5831.484,0.2003179,0.06967302
20260307,15,압구정동,0,weekday,53196.2881,5.0,0.0,4304.0,5603.27,16.5,0.06060606060606061,6523.645,12518.0,0.39771911,0.13833158
20260307,15,역삼1동,1,weekday,104518.0156,5.0,0.0,13420.0,12625.47,23.1,0.04329004329004329,11868.935,24574.708,0.82085288,0.28550269
20260307,15,역삼2동,1,weekday,38556.401249999995,5.0,0.0,3555.0,0.0,23.2,0.04310344827586207,1367.548,0.0,0.02824338,0.00982339
20260307,15,청담동,1,weekday,49697.9499,5.0,0.0,4760.0,1465.53,19.1,0.05235602094240837,1379.645,3698.322,0.15649539,0.05443101
20260307,16,논현1동,1,weekday,37268.3278,5.6,0.0,5187.0,6696.33,20.5,0.04878048780487805,9034.0,12333.612,0.31432197,0.11262279
20260307,16,논현2동,1,weekday,44232.6983,5.6,0.0,5294.0,1357.13,20.6,0.04854368932038835,5065.839,13014.322,0.22997302,0.08240023
