month,station_name,line_name,dong_name,transit_dong_code,included_in_3d_map,service_hour,monthly_get_on,monthly_get_off,daily_avg_get_on,daily_avg_get_off,daily_avg_station_pressure
202603,신사,3호선,신사동,11230510,1,8,19244,108519,620.774,3500.613,4121.387
202603,신사,3호선,신사동,11230510,1,9,18024,140423,581.419,4529.774,5111.194
202603,신사,3호선,신사동,11230510,1,10,21300,69127,687.097,2229.903,2917.0
202603,신사,3호선,신사동,11230510,1,11,26178,49177,844.452,1586.355,2430.806
202603,신사,3호선,신사동,11230510,1,12,29958,44998,966.387,1451.548,2417.935
202603,신사,3호선,신사동,11230510,1,13,36706,47990,1184.065,1548.065,2732.129
202603,신사,3호선,신사동,11230510,1,14,43104,42080,1390.452,1357.419,2747.871
202603,신사,3호선,신사동,11230510,1,15,50710,39678,1635.806,1279.935,2915.742
202603,신사,3호선,신사동,11230510,1,16,60294,42786,1944.968,1380.194,3325.161
202603,신사,3호선,신사동,11230510,1,17,86841,51979,2801.323,1676.742,4478.065
202603,신사,3호선,신사동,11230510,1,18,124805,60528,4025.968,1952.516,5978.484
202603,신사,3호선,신사동,11230510,1,19,88557,33212,2856.677,1071.355,3928.032
202603,신사,3호선,신사동,11230510,1,20,58856,17848,1898.581,575.742,2474.323
202603,신사,3호선,신사동,11230510,1,21,55544,14480,1791.742,467.097,2258.839
202603,신사,3호선,신사동,11230510,1,22,45371,11235,1463.581,362.419,1826.0
202603,신사,3호선,신사동,11230510,1,23,18099,7427,583.839,239.581,823.419
202603,청담,7호선,청담동,11230780,1,0,742,2704,23.935,87.226,111.161
202603,청담,7호선,청담동,11230780,1,1,0,0,0.0,0.0,0.0
202603,청담,7호선,청담동,11230780,1,2,0,0,0.0,0.0,0.0
202603,청담,7호선,청담동,11230780,1,3,0,0,0.0,0.0,0.0
202603,청담,7호선,청담동,11230780,1,4,12,0,0.387,0.0,0.387
202603,청담,7호선,청담동,11230780,1,5,2758,3512,88.968,113.29,202.258
202603,청담,7호선,청담동,11230780,1,6,7957,28844,256.677,930.452,1187.129
202603,청담,7호선,청담동,11230780,1,7,14115,61431,455.323,1981.645,2436.968
202603,청담,7호선,청담동,11230780,1,8,18821,137711,607.129,4442.29,5049.419
202603,청담,7호선,청담동,11230780,1,9,16140,91699,520.645,2958.032,3478.677
202603,청담,7호선,청담동,11230780,1,10,14877,38006,479.903,1226.0,1705.903
202603,청담,7호선,청담동,11230780,1,11,18735,24876,604.355,802.452,1406.806
202603,청담,7호선,청담동,11230780,1,12,22197,23696,716.032,764.387,1480.419
202603,청담,7호선,청담동,11230780,1,13,21893,25281,706.226,815.516,1521.742
202603,청담,7호선,청담동,11230780,1,14,26936,23001,868.903,741.968,1610.871
202603,청담,7호선,청담동,11230780,1,15,35341,21983,1140.032,709.129,1849.161
202603,청담,7호선,청담동,11230780,1,16,44740,21695,1443.226,699.839,2143.065
202603,청담,7호선,청담동,11230780,1,17,72221,23517,2329.71,758.613,3088.323
202603,청담,7호선,청담동,11230780,1,18,105434,23781,3401.097,767.129,4168.226
202603,청담,7호선,청담동,11230780,1,19,51134,18291,1649.484,590.032,2239.516
202603,청담,7호선,청담동,11230780,1,20,30540,12303,985.161,396.871,1382.032
202603,청담,7호선,청담동,11230780,1,21,27785,10578,896.29,341.226,1237.516
202603,청담,7호선,청담동,11230780,1,22,21437,7970,691.516,257.097,948.613
202603,청담,7호선,청담동,11230780,1,23,5439,4294,175.452,138.516,313.968
202603,강남구청,7호선,논현2동,11230530,1,0,1612,1853,52.0,59.774,111.774
202603,강남구청,7호선,논현2동,11230530,1,1,0,0,0.0,0.0,0.0
202603,강남구청,7호선,논현2동,11230530,1,2,0,0,0.0,0.0,0.0
202603,강남구청,7호선,논현2동,11230530,1,3,0,0,0.0,0.0,0.0
202603,강남구청,7호선,논현2동,11230530,1,4,10,0,0.323,0.0,0.323
202603,강남구청,7호선,논현2동,11230530,1,5,1766,1861,56.968,60.032,117.0
202603,강남구청,7호선,논현2동,11230530,1,6,3887,17616,125.387,568.258,693.645
202603,강남구청,7호선,논현2동,11230530,1,7,8656,38452,279.226,1240.387,1519.613
202603,강남구청,7호선,논현2동,11230530,1,8,11468,108099,369.935,3487.065,3857.0
202603,강남구청,7호선,논현2동,11230530,1,9,10763,103340,347.194,3333.548,3680.742
202603,강남구청,7호선,논현2동,11230530,1,10,10741,45657,346.484,1472.806,1819.29
202603,강남구청,7호선,논현2동,11230530,1,11,13188,26923,425.419,868.484,1293.903
202603,강남구청,7호선,논현2동,11230530,1,12,16006,24194,516.323,780.452,1296.774
202603,강남구청,7호선,논현2동,11230530,1,13,19052,25724,614.581,829.806,1444.387
202603,강남구청,7호선,논현2동,11230530,1,14,23577,21294,760.548,686.903,1447.452
202603,강남구청,7호선,논현2동,11230530,1,15,29427,20343,949.258,656.226,1605.484
202603,강남구청,7호선,논현2동,11230530,1,16,35259,19485,1137.387,628.548,1765.935
202603,강남구청,7호선,논현2동,11230530,1,17,55607,21363,1793.774,689.129,2482.903
202603,강남구청,7호선,논현2동,11230530,1,18,88943,22445,2869.129,724.032,3593.161
202603,강남구청,7호선,논현2동,11230530,1,19,56618,14243,1826.387,459.452,2285.839
202603,강남구청,7호선,논현2동,11230530,1,20,36449,9836,1175.774,317.29,1493.065
202603,강남구청,7호선,논현2동,11230530,1,21,31782,7352,1025.226,237.161,1262.387
