service_date,service_hour,dong_name,transit_dong_code,included_in_3d_map,transit_inbound,transit_outbound,transit_internal,transit_pressure
20260329,16,역삼2동,11230650,1,569,625,163,1031
20260329,16,압구정동,11230770,0,2239,3242,393,5088
20260329,16,청담동,11230780,1,555,674,161,1068
20260329,17,신사동,11230510,1,606,607,121,1092
20260329,17,논현1동,11230520,1,2249,3810,345,5714
20260329,17,논현2동,11230530,1,1137,1758,230,2665
20260329,17,삼성1동,11230580,1,1807,3731,653,4885
20260329,17,삼성2동,11230590,1,881,1203,285,1799
20260329,17,대치4동,11230630,1,1626,2815,485,3956
20260329,17,역삼1동,11230640,1,4572,5730,833,9469
20260329,17,역삼2동,11230650,1,663,692,184,1171
20260329,17,압구정동,11230770,0,2003,3075,446,4632
20260329,17,청담동,11230780,1,619,787,223,1183
20260329,18,신사동,11230510,1,468,605,126,947
20260329,18,논현1동,11230520,1,1749,3508,298,4959
20260329,18,논현2동,11230530,1,934,1542,155,2321
20260329,18,삼성1동,11230580,1,1244,3230,565,3909
20260329,18,삼성2동,11230590,1,765,914,268,1411
20260329,18,대치4동,11230630,1,1159,2064,305,2918
20260329,18,역삼1동,11230640,1,3636,5329,732,8233
20260329,18,역삼2동,11230650,1,495,618,187,926
20260329,18,압구정동,11230770,0,1517,3230,370,4377
20260329,18,청담동,11230780,1,524,1030,263,1291
20260329,19,신사동,11230510,1,364,541,120,785
20260329,19,논현1동,11230520,1,1369,2870,235,4004
20260329,19,논현2동,11230530,1,740,1585,190,2135
20260329,19,삼성1동,11230580,1,861,2400,417,2844
20260329,19,삼성2동,11230590,1,593,704,170,1127
20260329,19,대치4동,11230630,1,932,1682,219,2395
20260329,19,역삼1동,11230640,1,2844,4208,504,6548
20260329,19,역삼2동,11230650,1,413,410,91,732
20260329,19,압구정동,11230770,0,1104,2966,325,3745
20260329,19,청담동,11230780,1,413,637,180,870
20260329,20,신사동,11230510,1,237,593,104,726
20260329,20,논현1동,11230520,1,1179,3145,205,4119
20260329,20,논현2동,11230530,1,661,1268,147,1782
20260329,20,삼성1동,11230580,1,671,2179,374,2476
20260329,20,삼성2동,11230590,1,701,598,130,1169
20260329,20,대치4동,11230630,1,912,1515,185,2242
20260329,20,역삼1동,11230640,1,2634,4014,434,6214
20260329,20,역삼2동,11230650,1,442,455,101,796
20260329,20,압구정동,11230770,0,728,3585,274,4039
20260329,20,청담동,11230780,1,417,502,100,819
20260329,21,신사동,11230510,1,173,423,77,519
20260329,21,논현1동,11230520,1,978,2910,150,3738
20260329,21,논현2동,11230530,1,555,982,80,1457
20260329,21,삼성1동,11230580,1,712,1780,249,2243
20260329,21,삼성2동,11230590,1,632,548,101,1079
20260329,21,대치4동,11230630,1,783,1641,297,2127
20260329,21,역삼1동,11230640,1,2599,3910,371,6138
20260329,21,역삼2동,11230650,1,389,388,80,697
20260329,21,압구정동,11230770,0,546,2154,187,2513
20260329,21,청담동,11230780,1,345,465,77,733
20260329,22,신사동,11230510,1,124,391,81,434
20260329,22,논현1동,11230520,1,692,2357,140,2909
20260329,22,논현2동,11230530,1,422,699,54,1067
20260329,22,삼성1동,11230580,1,365,1192,135,1422
20260329,22,삼성2동,11230590,1,456,398,62,792
20260329,22,대치4동,11230630,1,550,1742,265,2027
20260329,22,역삼1동,11230640,1,1455,3373,328,4500
20260329,22,역삼2동,11230650,1,319,350,55,614
20260329,22,압구정동,11230770,0,400,1469,148,1721
20260329,22,청담동,11230780,1,252,366,58,560
20260329,23,신사동,11230510,1,62,132,28,166
20260329,23,논현1동,11230520,1,314,1076,63,1327
20260329,23,논현2동,11230530,1,161,294,25,430
20260329,23,삼성1동,11230580,1,154,490,84,560
20260329,23,삼성2동,11230590,1,185,206,50,341
20260329,23,대치4동,11230630,1,246,440,82,604
20260329,23,역삼1동,11230640,1,633,1576,178,2031
20260329,23,역삼2동,11230650,1,139,122,25,236
20260329,23,압구정동,11230770,0,181,475,62,594
